Distance to walk: 20, step length: 1
229: (x,y) = (11.1147, 6.5137)
230: (x,y) = (11.3903, 7.47496)
231: (x,y) = (12.2813, 7.02097)
232: (x,y) = (12.2988, 6.02112)
233: (x,y) = (11.6168, 6.75248)
234: (x,y) = (10.9875, 5.97533)
235: (x,y) = (11.5025, 5.11816)
236: (x,y) = (10.7365, 4.47537)
237: (x,y) = (10.1629, 5.29453)
238: (x,y) = (10.7507, 4.48551)
239: (x,y) = (11.6842, 4.84388)
240: (x,y) = (12.2289, 5.68255)
241: (x,y) = (12.2638, 6.68194)
242: (x,y) = (12.9066, 5.91589)
243: (x,y) = (13.7895, 5.44642)
244: (x,y) = (14.2743, 6.32104)
245: (x,y) = (15.273, 6.26871)
246: (x,y) = (14.2827, 6.12953)
247: (x,y) = (14.9898, 6.83664)
248: (x,y) = (15.917, 6.46203)
249: (x,y) = (16.808, 6.91602)
250: (x,y) = (17.6467, 7.46066)
251: (x,y) = (17.6816, 6.46127)
252: (x,y) = (18.6559, 6.68622)
253: (x,y) = (17.9613, 7.40556)
254: (x,y) = (18.9588, 7.47532)
After 255 steps man get position of: 
(x,y) = (18.9588, 7.47532)
Which mean
(m,a) = (20.3794, 68.4811)
Average step lenght = 0.079919
Distance to walk: 50, step length: 10
Distance to walk: 50, step length: 0.1
Distance to walk: 100, step length: 1
Distance to walk: 50, step length: 1
Distance to walk: 50, step length: 1
Distance to walk: 100, step length: 1
Distance to walk: 50, step length: 0.1
Distance to walk: 50, step length: 1
Distance to walk: 50, step length: 1
Distance to walk: 50, step length: 0.1
Distance to walk: 50, step length: 1
Distance to walk: 50, step length: 0.1
Distance to walk: 50, step length: 1
Max steps value: 6577
Min steps value: 1059
Average steps value: 17653
Distance to walk: 50, step length: 0.001
Max steps value: 3.06167e+08
Min steps value: 1.95544e+08
Average steps value: 1.14377e+09
